.cn	Q2
维医	Q11719
维吾尔族	Q11720
维吾尔语	Q11721
维基百科	Q11723
维塔（日本动漫《魔法少女奈叶》系列中的人物）	Q11724
维多利亚时代	Q11725
维希政府	Q11726
维度	Q11728
维格纳	Q11730
维管束植物	Q11732
维达尔·白兰士	Q11733
绿岛（中国台湾省台东县岛屿）	Q11735
绿色奇迹	Q11739
编年体	Q11743
编年体通史	Q11744
编年史（历史记录方式）	Q11745
编曲（图书名称）	Q11746
编码理论	Q11747
编码（计算机术语）	Q11748
编程语言	Q11749
缪凤林	Q11754
缪勒（美国遗传学家）	Q11755
缪斯（希腊神话中的一系列神祇）	Q11756
缺省	Q11758
网站（互联网词汇）	Q11765
网络	Q11766
网络中心战	Q11767
网络文学（以互联网为载体的文学）	Q11774
网络身份证	Q11777
网路	Q11779
网际网络	Q11780
网页	Q11781
网页浏览器	Q11782
罗伯特·劳伦斯·库恩	Q11784
罗伯特·布朗（苏格兰植物学家）	Q11785
罗伯特·波义耳	Q11786
罗伯特·皮尔	Q11787
罗伯特·胡克	Q11788
罗伯特·赫德	Q11790
罗兰（1995年诺贝尔化学奖得主）	Q11791
罗刹国	Q11793
罗勒	Q11794
罗卜藏丹津	Q11795
罗布泊	Q11800
罗斯贝	Q11801
罗杰·培根	Q11803
罗杰·潘洛斯	Q11804
罗氏鬼国	Q11805
罗汉像	Q11806
罗洛·梅	Q11809
罗浮山（广东省博罗县罗浮山）	Q11811
罗热里奥·塞尼	Q11813
罗熙杰	Q11814
罗盘针	Q11815
罗章龙	Q11817
罗纳德·哈里·科斯	Q11819
罗舜初	Q11820
罗马人（人种族群）	Q11821
罗马共和国（古罗马共和国）	Q11822
罗马史（商务印书馆2004年版图书）	Q11823
罗马尼亚（欧洲南部国家）	Q11825
罗马帝国（古代罗马文明的一个阶段）	Q11826
罗马帝国（古罗马文明的一个阶段）	Q11827
罗马皇帝	Q11829
罗马（意大利首都）	Q11830
罚款	Q11831
羌族	Q11835
美丽乡村（十六届五中全会建设目标）	Q11836
美人鱼（2006年美国电影）	Q11837
美元	Q11838
美国东岸	Q11841
美国中央情报局	Q11842
美国中西部	Q11843
美国人（2009年安东·寇班执导美国电影）	Q11844
美国人（丹尼尔·布尔斯廷小说）	Q11845
美国共和党	Q11846
美国国会（美国最高立法机关）	Q11849
美国国债	Q11850
美国国家科学院	Q11852
美国国籍	Q11853
美国在台协会	Q11856
美国太平洋舰队	Q11859
美国心理学会	Q11860
美国护照	Q11863
美国民主党	Q11868
美国海军第七舰队	Q11871
美国版权法	Q11872
美国社会学	Q11873
美国移民局	Q11874
美国经济	Q11875
美国经济学会	Q11876
美国经济评论	Q11877
美国职业棒球大联盟	Q11878
美国计算机协会	Q11880
美国（红色警戒2mod心灵终结3.0盟军子阵营）	Q11882
美国（美利坚合众国）	Q11883
美学（中国哲学二级学科）	Q11884
美尼斯	Q11885
美德伦理学	Q11887
美济岛	Q11889
美琪（动漫《守护甜心》人物）	Q11890
美的集团	Q11891
美索不达米亚（jeanbottero著图书）	Q11892
羚牛	Q11893
羽毛球（体育项目）	Q11897
翁俊明	Q11898
翘嘴鲌	Q11900
翦伯赞	Q11902
耀变体	Q11904
老中医（解决临床疑难问题的医者）	Q11905
老人	Q11906
老化（化学名词）	Q11907
老城厢	Q11908
老子（道家学派创始人）	Q11911
老年人口	Q11913
老年学	Q11914
老挝	Q11916
老普林尼	Q11917
老鼠（啮齿目动物）	Q11918
考古天文学	Q11922
考夫曼（俄国经济学家）	Q11923
考底利耶	Q11924
耆那教	Q11926
耗散结构	Q11930
耦合	Q11932
耶稣基督后期圣徒教会	Q11938
耶鲁大学	Q11939
耿仲明	Q11940
聂耳（人民音乐家）	Q11941
聂荣臻（中华人民共和国元帅）	Q11942
聆听音乐	Q11943
聊城市通力电梯有限公司	Q11944
职业培训	Q11946
职业学校	Q11947
职业教育（教育）	Q11948
职业犯	Q11949
职业生涯	Q11950
职业（专业术语）	Q11952
职官系统	Q11953
联俄容共	Q11956
联合军事演习	Q11957
联合国	Q11958
联合国儿童基金会	Q11960
联合国军	Q11961
联合国大会	Q11962
联合国大会第2758号决议	Q11963
联合国安全理事会	Q11964
联合国安全理事会常任理事国	Q11965
联合国开发计划署	Q11966
联合国教育、科学及文化组织	Q11967
联合国粮食及农业组织	Q11968
联合国（国际组织）	Q11969
联合工会	Q11970
联想集团	Q11972
联机处理	Q11973
联邦制	Q11978
联邦法院	Q11979
肃南裕固族自治县	Q11981
肃清大屠杀	Q11983
肘后备急方（医史文献）	Q11990
肝炎	Q11991
肝脏	Q11994
股票期权	Q11998
股票（股份公司发行的所有权凭证）	Q11999
肥胖症	Q12001
肯尼亚	Q12003
肯迪	Q12004
肺炎	Q12005
肿瘤分期	Q12007
胆囊癌	Q12009
胆囊结石	Q12010
胎儿性别鉴定	Q12012
胡亥（秦二世）	Q12014
胡先骕	Q12015
胡启立	Q12016
胡塞尔	Q12017
胡彦斌（中国内地男歌手）	Q12018
胡日德乐队	Q12020
胡景翼（民国将领）	Q12021
胡歌（中国内地男演员）	Q12023
胡毅生	Q12024
胡瑛（民国桃源三杰之一）	Q12026
胡耀邦（中华人民共和国的主要领导人之一）	Q12027
胡荣华（中国象棋国际特级大师）	Q12028
胡蝶（中央电视台主播）	Q12029
胡适	Q12030
胡金龙（书法家）	Q12031
胡锦涛	Q12032
胥姓	Q12033
胶子	Q12034
胶片	Q12036
胺基酸	Q12037
能人	Q12038
能源矿产	Q12041
能源（向自然界提供能量转化的物质）	Q12042
能见度	Q12043
能量传递	Q12045
能量守恒	Q12046
脉冲星（有10^7—10^14t强磁场的快速自转中子星）	Q12047
脉经	Q12049
脉象	Q12050
脑损伤	Q12052
脚本语言	Q12054
脚本（企业品牌）	Q12055
脱氧核糖核酸	Q12057
脱脱（元朝末期政治家、军事家）	Q12058
腿毛	Q12066
臂章	Q12068
自交	Q12071
自养生物	Q12072
自动上链机芯	Q12073
自动化控制	Q12074
自动机理论	Q12076
自动调节	Q12078
自卑感	Q12079
自变量	Q12080
自慰	Q12081
自我学习	Q12083
自我实现	Q12084
自我思维	Q12085
自旋电子学	Q12088
自杀论	Q12089
自然主义文学	Q12091
自然哲学（哲学学科）	Q12093
自然地理	Q12094
自然地理学	Q12095
自然垄断	Q12096
自然增长率	Q12097
自然崇拜	Q12098
自然数	Q12100
自然权利	Q12103
自然派	Q12106
自然物体	Q12107
自然状态	Q12108
自然现象	Q12109
自然生态系统	Q12111
自然界	Q12112
自然神论（哲学观点）	Q12113
自然语言	Q12114
自然语言处理	Q12115
自然遗产	Q12117
自由协会	Q12119
自由意志（哲学概念）	Q12123
自由空间（无任何多径的传播空间）	Q12126
自由联想	Q12127
自由贸易	Q12129
自由贸易区	Q12130
自由贸易港	Q12132
自由贸易港区	Q12133
自由软件	Q12135
自由软件基金会	Q12136
自由软件运动	Q12137
自行开发	Q12139
自行车发展史	Q12141
致命录像带	Q12149
致密星	Q12150
致我们终将逝去的青春（2007年辛夷坞著言情小说）	Q12151
舍入误差	Q12154
舒城县	Q12155
舒畅（中国内地女演员）	Q12157
舜（中国上古部落联盟首领）	Q12158
舞台调度	Q12161
舞者（微电影）	Q12163
舞蹈表演	Q12164
舞阳河风景名胜区	Q12167
舞龙舞狮（中国民间习俗）	Q12169
航拍（摄影术语）	Q12171
航海术	Q12173
航空武器	Q12177
航空母舰（《红色警戒2》中的海军单位）	Q12178
航空母舰（大型水面舰艇）	Q12179
航空航天	Q12180
艋舺（台北市西区地名）	Q12190
色情	Q12196
色球	Q12197
色谱仪	Q12198
艺术家（法国2011年迈克尔·哈扎纳维希乌斯执导影片）	Q12200
艺术形式（对艺术形式的解释）	Q12202
艺术特色	Q12205
艺术设计（艺术学科）	Q12206
艺术（文化名词）	Q12208
艾丁湖	Q12210
艾丽莎·杜什库	Q12211
艾伦·麦席森·图灵	Q12212
艾兹格·迪科斯彻	Q12213
艾宾浩斯	Q12214
艾尔伯图斯·麦格努斯	Q12215
艾森克	Q12217
艾滋病	Q12218
艾灸	Q12219
艾瑞克·弗洛姆	Q12220
艾米·阿克	Q12221
艾米·韦伯	Q12222
艾萨克·牛顿	Q12223
艾青	Q12225
芜合高速公路	Q12230
芜湖站	Q12235
芜湖（安徽省地级市）	Q12237
芝加哥大学	Q12239
芝加哥学派	Q12240
芝加哥经济学派	Q12241
芝加哥（美国伊利诺伊州城市）	Q12242
芝加哥（美国国际大都市）	Q12243
芬兰大学	Q12250
芬兰（芬兰共和国）	Q12251
芭蕾舞剧	Q12252
花东纵谷	Q12253
花卉	Q12254
花木兰（古代民族女英雄）	Q12256
花淑兰	Q12257
花瓶屿	Q12258
花雅之争	Q12261
花鸟鱼虫	Q12263
苏-35战斗机	Q12266
苏家屯区	Q12271
苏州古典园林	Q12273
苏州工业园区	Q12274
苏州河（2000年娄烨执导电影）	Q12276
苏州港	Q12277
苏州（兰佩瑾编著书籍）	Q12279
苏州（江苏省地级市）	Q12280
苏德战争（第二次世界大战期间苏联与德国之间的战争）	Q12281
苏敬（唐代药学家）	Q12282
苏日中立条约	Q12283
苏朝友好合作互助条约	Q12284
苏格兰	Q12285
苏格拉底反诘法	Q12286
苏格拉底（古希腊著名哲学家）	Q12287
苏玉华（中国香港女演员）	Q12289
苏禄国	Q12290
苏秦（战国时期纵横家）	Q12291
苏美人	Q12296
苏联	Q12297
苏联共产党	Q12298
苏联共产党中央委员会总书记	Q12299
苏联肃反运动	Q12304
苏联马克思主义	Q12306
苏荣（十二届全国政协原副主席）	Q12307
苏轼（北宋文学家）	Q12310
苗医	Q12311
苗族	Q12313
苗族芦笙舞	Q12314
苟日新，日日新，又日新	Q12317
苯教	Q12321
英国巴克莱银行	Q12327
英国戏剧	Q12328
英国殖民地	Q12329
英国皇家海军	Q12330
英国皇家空军	Q12331
英国（大不列颠及北爱尔兰联合王国）	Q12333
英属印度	Q12334
英属香港	Q12335
英帕尔	Q12336
英文字母	Q12339
英格兰	Q12341
英格兰足球联盟杯	Q12342
英格玛·伯格曼（瑞典导演、编剧、制作人）	Q12343
英法联军（第二次鸦片战争中的英法联军）	Q12344
英特尔	Q12345
英联邦	Q12347
英语单词	Q12348
英语（语言）	Q12350
英里（英制长度单位）	Q12351
英镑	Q12352
英雄时代（2013年李大为导演史诗宏篇巨著电视连续剧）	Q12354
英雄联盟全球总决赛	Q12355
英雄联盟（2011年腾讯运营的电子竞技类游戏）	Q12356
苹果公司	Q12357
苹果电脑	Q12358
苹果（2007年李玉执导电影）	Q12359
苹果（伊朗1998年莎米拉·玛克玛尔巴夫执导电影）	Q12360
苹果（蔷薇科苹果属果实）	Q12362
苹果（韩国2008年康理贯执导电影）	Q12363
范伟（中国内地喜剧演员）	Q12369
范式（数据库术语）	Q12371
范式（科学学概念）	Q12372
范成大	Q12374
范杜能	Q12376
范植伟	Q12377
范畴论	Q12378
范畴（哲学概念）	Q12379
范艾伦辐射带	Q12380
范雎	Q12383
范鸿劼	Q12384
茅盾	Q12386
茨淮新河	Q12388
茶树	Q12389
荀子（战国末期赵国思想家、教育家）	Q12392
荆山（词语解释）	Q12393
荆州城	Q12394
荆轲刺秦王（战国策选文）	Q12404
荒木丰久	Q12409
荒木经惟	Q12410
荒漠化	Q12411
荔枝（水果类植物）	Q12412
荣庆	Q12415
荣毅仁	Q12416
荣誉奖章	Q12418
荣誉教授	Q12419
荥阳	Q12420
药学（医药学学科）	Q12422
药物化学（学科）	Q12423
药物论	Q12424
药用植物（医药学术语）	Q12426
药用植物（莱斯莉·布雷姆尼斯著图书）	Q12427
药膳	Q12428
荷兰	Q12430
荷属东印度	Q12431
荷马史诗	Q12432
荷马（古希腊诗人）	Q12433
莆田	Q12434
莉顿·梅斯特	Q12435
莫卧儿帝国	Q12437
莫妮克	Q12438
莫斯科保卫战（苏德战争中的重要战役）	Q12440
莫斯科（俄罗斯联邦首都）	Q12442
莫斯科（美国爱达荷州城镇）	Q12443
莫朝	Q12444
莫理循	Q12445
莫里斯·威尔克斯	Q12446
莫里斯·梅洛-庞蒂	Q12447
莫顿（《赛尔号》中角色）	Q12448
莫高窟	Q12449
莱切斯特	Q12451
莱昂内尔·罗宾斯	Q12452
莱昂哈德·欧拉	Q12453
莱昂哈特	Q12454
莱昂纳多·迪卡普里奥	Q12455
莱曼·弗兰克·鲍姆	Q12456
莱比锡大学	Q12457
莱茵河（欧洲河流名）	Q12459
菏泽（山东省地级市）	Q12462
菩提达摩	Q12465
菲利普斯曲线	Q12467
菲尔兹奖	Q12468
菲尔多西	Q12469
菲律宾海	Q12472
菲律宾（菲律宾共和国）	Q12474
菲靡靡之音	Q12475
萤火一号火星探测器	Q12477
营养不良	Q12479
营口港	Q12481
萧何	Q12484
萧县	Q12485
萧子显	Q12486
萧铣	Q12489
萨拉曼卡学派	Q12494
萨斯（土耳其加拉塔萨雷足球俱乐部球员）	Q12495
萨满教	Q12496
萨珊王朝	Q12498
萨麦尔（神话中的恶魔）	Q12501
落地签证	Q12503
著微	Q12507
葛洪（东晋道教学家、化学家、医药学家）	Q12508
葡属澳门	Q12511
葡萄牙	Q12512
葡萄牙帝国	Q12514
葡萄酒	Q12515
董其昌	Q12517
董卓（东汉末年权臣）	Q12518
董建华（第十三届全国政协副主席）	Q12519
董建（济南文艺广播主持人）	Q12520
董贤	Q12521
蒂姆·伯纳斯·李	Q12523
蒂姆·库克	Q12524
蒂托·李维	Q12525
蒋介石	Q12526
蒋仲苓	Q12527
蒋卓庆	Q12528
蒋巨峰	Q12529
蒋清（成都市第一人民医院副主任医师）	Q12531
蒋经国	Q12533
蒋胜	Q12534
蒙医	Q12535
蒙古人民共和国	Q12536
蒙古人种	Q12538
蒙古国	Q12541
蒙古帝国（蒙古人建立的地跨欧亚的帝国）	Q12543
蒙古族	Q12544
蒙德极小期	Q12547
蒙恬（秦始皇时期的著名将领）	Q12548
蒙拉	Q12549
蒙毅（秦朝将领）	Q12550
蒙特·卡罗方法	Q12551
蒙疆联合自治政府	Q12553
蒙金战争	Q12555
蒲辅周	Q12556
蒸发量	Q12557
蒸汽火车	Q12558
蓝光光碟	Q12560
蓝天蔚	Q12561
蓝夷	Q12562
蓝洋	Q12564
蓝田人	Q12565
蓝色基因（超级计算机的名）	Q12568
蔡依林	Q12570
蔡元培	Q12572
蔡叔	Q12573
蔡和森	Q12574
蔡国	Q12575
蔡志强（童星演员）	Q12576
蔡明亮	Q12577
蔡英文（台湾地区领导人、民主进步党主席）	Q12578
蔡锷	Q12579
蔡骏（悬疑作家）	Q12580
蔬菜（食用类植物）	Q12581
薛举	Q12586
薛之谦（中国内地男歌手、音乐制作人、演员）	Q12587
薛仁杲	Q12588
薛仁贵	Q12589
薛其坤	Q12590
藏传佛教	Q12592
藏南地区	Q12594
藏族	Q12595
藏象	Q12597
藩属国	Q12598
藩镇割据	Q12601
虎门镇	Q12606
虚位元首	Q12607
虚拟内存	Q12609
虚拟机	Q12612
虚无主义	Q12613
虢公翰	Q12615
虹口区	Q12617
虾子大乌参	Q12620
蚌埠	Q12622
蚌埠南站	Q12624
蚵仔煎（闽台潮特色小吃）	Q12628
蛋白质组学	Q12631
蜀汉（三国时期政权）	Q12633
蜡染	Q12635
蝮蛇（花斑蛇）	Q12636
螺旋星系	Q12640
螺旋臂	Q12641
蟋蟀（昆虫）	Q12642
血族（吉尔莫·德尔·托罗执导fx电视网剧集）	Q12645
血液循环	Q12646
血缘关系（由婚姻或生育而产生的人际关系）	Q12648
行业	Q12649
行中书省	Q12650
行为主义学派	Q12651
行为主义心理学	Q12652
行为主义理论	Q12653
行为主义革命	Q12654
行为主义（美国现代心理学主要流派之一）	Q12655
行为学派	Q12656
行为心理学（心理学流派）	Q12657
行为模式	Q12658
行为经济学（经济学下属学科）	Q12660
行动（汉语词组）	Q12663
行政人员	Q12665
行政划分	Q12666
行政区划	Q12668
行政单位	Q12669
行政机关	Q12674
行政法（国家行政管理的法律、法规）	Q12678
行政管理工作	Q12680
行星状星云	Q12686
行星科学	Q12687
行星系	Q12688
街舞	Q12690
街道办事处	Q12691
补肺阿胶散	Q12698
表演艺术（艺术门类）	Q12701
袁世凯	Q12702
袁军（挪威华人联谊会中文学校校长）	Q12703
袁军（湖北省公安县人大常委会副主任）	Q12704
袁崇焕（明朝末年蓟辽督师）	Q12705
袁术（东汉末年割据群雄之一）	Q12706
袁绍（东汉末年军阀，汉末群雄之一）	Q12708
袁野（中华人民共和国审计署副审计长）	Q12709
袁阔成	Q12710
袁黄	Q12712
装甲军团	Q12718
裕固族	Q12720
裘曰修	Q12721
裴延龄	Q12724
裴松之	Q12726
裴秀	Q12727
襄樊之战（宋元襄阳之战）	Q12732
襄阳市第四中学	Q12736
襄阳府（中国襄阳府）	Q12737
西亚（地理名词）	Q12741
西伯利亚（北亚地区）	Q12745
西佛星系	Q12746
西北政法大学	Q12749
西北省（南非西北省）	Q12750
西半球	Q12751
西南地区（中华人民共和国地理分区）	Q12752
西南政法大学	Q12753
西南非洲	Q12754
西南（汉语词语）	Q12755
西域（今玉门关以西地区）	Q12758
西塞罗（古罗马著名政治家）	Q12759
西夏（中国历史政权）	Q12760
西奥多·冯·卡门	Q12761
西安事变（1936年12月12日张学良和杨虎城发动的兵谏）	Q12763
西安事变（2011年黑撒乐队音乐专辑）	Q12764
西安交通大学	Q12765
西安医学院	Q12766
西安电力电子技术研究所	Q12767
西安（陕西省会、十三朝古都）	Q12768
西方哲学	Q12773
西方哲学史（西方哲学的发展历史）	Q12774
西方国家	Q12775
西方戏剧	Q12776
西方文化	Q12777
西方文明	Q12778
西方音乐（起源于欧洲的音乐）	Q12780
西方马克思主义	Q12781
西晋	Q12782
西格蒙德·弗洛伊德	Q12784
西汉	Q12786
西汉长信宫灯	Q12787
西沙群岛	Q12788
西沙群岛、南沙群岛、中沙群岛办事处	Q12789
西洋音乐	Q12793
西游记（中国古典长篇小说）	Q12795
西游降魔篇（书籍）	Q12796
西湖（浙江省杭州市西湖）	Q12797
西燕	Q12798
西班牙文	Q12805
西班牙第二共和国	Q12806
西班牙语（语言）	Q12807
西班牙（西班牙王国）	Q12808
西突厥	Q12811
西蒙（《妖精的尾巴》人物）	Q12813
西蒙（美国剧作家）	Q12814
西藏地方	Q12815
西藏（西藏自治区）	Q12818
西辽	Q12822
西部地区	Q12824
西门豹	Q12827
西非	Q12828
西餐	Q12829
西餐厅	Q12830
覃文	Q12832
见鬼（1、人看见鬼魂	Q12836
观察法	Q12838
观赏石	Q12839
规模经济	Q12846
规范玻色子	Q12848
视差（视觉名词）	Q12852
视星等	Q12853
视觉暂留	Q12855
角分	Q12857
角度测量	Q12858
角色（名词）	Q12860
解剖学	Q12862
解忧公主（汉朝和亲公主）	Q12863
解放战争（第三次国内革命战争）	Q12865
解放日报（中共上海市委机关报）	Q12866
解构主义	Q12867
解离常数	Q12869
解释器	Q12870
解释学	Q12872
言情小说（小说流派）	Q12873
言论自由	Q12874
詹天佑（中国铁路工程专家）	Q12875
詹妮弗·劳伦斯	Q12876
詹姆斯·布坎南（美国第15任总统）	Q12877
詹姆斯·杜威·沃森	Q12878
计划	Q12879
计划生育	Q12880
计划经济	Q12881
计算几何	Q12882
计算器	Q12883
计算复杂性理论	Q12884
计算数学	Q12885
计算方法	Q12886
计算机	Q12888
计算机世界	Q12889
计算机制图	Q12890
计算机协会	Q12891
计算机图形学	Q12892
计算机安全	Q12893
计算机工程	Q12894
计算机平台	Q12895
计算机技术	Q12896
计算机操作系统（计算机系统软件）	Q12897
计算机模拟	Q12898
计算机犯罪	Q12899
计算机病毒	Q12900
计算机科学与技术专业	Q12901
计算机科学家	Q12902
计算机科学（一门科学领域）	Q12903
计算机科学（期刊名称）	Q12904
计算机程序设计语言	Q12907
计算机系统结构（机器语言机器级的结构）	Q12909
计算机组成（系统结构的逻辑实现）	Q12910
计算机网络（连接分散计算机设备以实现信息传递的系统）	Q12911
计算机视觉	Q12912
计算机辅助工程（上海海事大学主办杂志）	Q12913
计算神经科学	Q12915
计量革命	Q12919
订婚	Q12920
认同（心理学名词）	Q12922
认知主义	Q12923
认知偏差	Q12924
认知心理学（一种心理学研究方向）	Q12925
认知心理学（具有自由意志特征的认知模型）	Q12926
认知神经科学	Q12927
认知科学（学科概念）	Q12928
认知过程	Q12931
认知革命	Q12932
认识论（哲学分支学科）	Q12934
讨逆军	Q12935
让-雅克·卢梭	Q12936
让·勒朗·达朗贝尔	Q12937
让·皮亚杰	Q12938
议事协调机构	Q12942
记忆体	Q12945
记忆力（生理性记忆力）	Q12946
记忆恢复	Q12947
记忆（人类思维中信息内容的储备与使用过程）	Q12948
记谱法	Q12949
讲师	Q12950
许可（中国社会科学院研究员）	Q12951
许可（公务员考试培训讲师）	Q12952
许可（昕薇专属模特）	Q12953
许平君（西汉宣帝皇后）	Q12955
许昌（河南省地级市）	Q12956
许水德	Q12957
许浚（朝鲜医学家）	Q12958
许海峰（中国男子射击队运动员、中国奥运金牌第一人）	Q12959
许纪霖	Q12960
论文	Q12963
论法的精神	Q12964
论自由	Q12965
设备驱动	Q12969
访谈法	Q12972
访问教授	Q12974
证伪	Q12975
证券交易所	Q12976
证据（法律学术语）	Q12979
评剧	Q12980
评弹	Q12981
评论家	Q12982
诗经	Q12986
诗经（中国最早诗歌总集）	Q12987
话剧	Q12990
语言哲学	Q12994
语言学家	Q12995
语言文字	Q12996
语言（人类交际工具）	Q12999
语音合成	Q13000
说书人（2012年小沈阳主演的电视剧）	Q13006
诸侯争霸（发生在春秋时期的事件）	Q13008
诸华	Q13010
诸子百家（春秋战国时期学术派别的总称）	Q13012
诸病源候论	Q13013
诸葛亮（三国时期历史人物）	Q13015
诺伯特·维纳	Q13016
诺埃尔	Q13018
诺基亚	Q13019
诺姆·乔姆斯基	Q13021
诺曼·安吉尔	Q13022
诺维奇（英国东安格里亚地区的中心城市）	Q13023
诺贝尔化学奖	Q13024
诺贝尔基金会	Q13025
诺贝尔奖（以瑞典化学家诺贝尔命名的奖项）	Q13026
诺贝尔文学奖	Q13027
诺贝尔物理学奖	Q13028
诺贝尔生理学或医学奖	Q13029
诺贝尔经济学奖	Q13030
调休	Q13034
调制解调器	Q13035
调料	Q13038
调查对象	Q13039
谈允贤（明代女医师）	Q13042
谈家桢	Q13044
谍海风云（2010年米凯尔·哈弗斯特罗姆执导谍战电影）	Q13045
谢林（江西师范大学音乐学院教授）	Q13050
谢玄	Q13051
谢缵泰	Q13052
谦妃	Q13054
谭人凤	Q13055
谭处端	Q13056
谭松韵	Q13058
谭植棠	Q13059
谯城区	Q13063
谯纵	Q13064
谱线	Q13067
豆豉	Q13072
象征主义	Q13073
象郡	Q13074
豫剧	Q13075
豫园	Q13077
豫州	Q13079
豫湘桂战役	Q13080
贝克（美国军用望远镜品牌）	Q13081
贝奈戴托·克罗齐	Q13082
贝尔格莱德	Q13084
贝尔（中式箱包品牌）	Q13085
贝尼托·墨索里尼	Q13086
贝拉·巴拉兹	Q13087
贝拉克·侯赛因·奥巴马	Q13088
贝类海鲜	Q13089
贞观律	Q13092
负增长	Q13094
负面影响	Q13096
贡布（西藏野生动物保护协会副会长）	Q13097
贡米（中国内地女演员）	Q13099
财富（世界著名财经杂志）	Q13100
财政学（政治经济学--分支）	Q13101
财政收入	Q13103
财政赤字	Q13104
财神（道教神明）	Q13106
货币供给	Q13111
货币学派	Q13112
货币政策（经济金融政策）	Q13114
货币数量论	Q13115
货币经济学（经济学分支学科）	Q13116
货币联盟	Q13117
货币（一种关于交换权的契约）	Q13119
货柜	Q13120
质因数	Q13124
质子数	Q13125
质子（亚原子粒子）	Q13126
质性研究	Q13127
质数	Q13128
质点	Q13129
质谱	Q13130
质谱仪	Q13131
质量守恒定律	Q13132
贫困问题	Q13135
贫富差距	Q13137
购买力	Q13138
购买力平价	Q13139
贵州医科大学	Q13140
贵州民族大学	Q13147
贵州（中华人民共和国省级行政区）	Q13152
贵广高速铁路	Q13153
贵阳	Q13155
贵阳学院	Q13157
贵阳龙洞堡国际机场	Q13158
贸易保护主义（国际贸易理论或政策）	Q13159
贸易制裁	Q13161
贸易壁垒	Q13163
贸易平衡	Q13164
贸易顺差	Q13165
费多尔·冯·博克	Q13167
费马大定理（数学史上著名的定理）	Q13168
贺绿汀	Q13169
贺绿汀（当代著名音乐家、教育家）	Q13170
贺龙	Q13171
贾公彦	Q13172
贾庆林	Q13173
贾承博	Q13174
贾科莫·普契尼	Q13178
贾耽	Q13179
贾鲁	Q13180
资产阶级自由化	Q13181
资优生	Q13182
资料库	Q13183
资本主义制度	Q13184
资本主义社会	Q13185
资本主义阵营	Q13187
资本主义（私有制经济制度）	Q13188
资本市场（市场形态之一）	Q13189
资本结构	Q13190
资本论（卡尔·马克思著作）	Q13191
资本（政治经济学或经济学基本概念）	Q13193
资治通鉴	Q13194
资源（经济学名词）	Q13198
资讯革命	Q13199
资阳人	Q13200
赋值	Q13201
赋格	Q13202
赐死制度	Q13203
赖声川	Q13204
赖清德	Q13205
赖特·米尔斯	Q13206
赛奇	Q13208
赛车	Q13210
赛马（桌面游戏）	Q13211
赞美诗（赞美上帝的诗歌）	Q13213
赣州（江西省下辖地级市）	Q13214
赤松德赞	Q13218
赤狐（食肉目犬科动物）	Q13222
赤祖德赞	Q13224
赫伯特·斯宾塞	Q13225
赫哲族	Q13226
赫尔曼·艾宾浩斯	Q13228
赫尔辛基大学	Q13229
赫尔辛基宣言	Q13230
赫西俄德	Q13232
走出国门（2011年上映影片）	Q13233
走饭	Q13234
赵世炎（中国共产党早期领导人）	Q13235
赵丹（辽宁省二人转演员）	Q13236
赵丽宏	Q13237
赵九章	Q13238
赵伯先	Q13239
赵佗（南越武帝）	Q13240
赵佶（宋朝第八位皇帝）	Q13241
赵匡胤（宋朝开国皇帝）	Q13242
赵合德	Q13243
赵国（战国七雄之一）	Q13244
赵宏斌（上海财经大学公共经济与管理学院副教授）	Q13245
赵尔丰	Q13246
赵州桥（全国重点保护文物）	Q13247
赵恒惕	Q13248
赵恒（宋朝第三位皇帝）	Q13249
赵承金	Q13251
赵文（大连海洋大学研究生院院长）	Q13252
赵昺（历史人物）	Q13253
赵本山	Q13254
赵构（宋高宗）	Q13255
赵武灵王胡服骑射	Q13257
赵素	Q13259
赵紫阳（中华人民共和国中央军委副主席）	Q13260
赵绍琴	Q13261
赵顼	Q13263
赵飞燕（中国汉朝时期成帝皇后）	Q13264
赵飞燕（游戏英雄杀人物）	Q13265
赵高（秦朝宰相、宦官）	Q13266
超大城市（城区常住人口1000万以上的城市）	Q13269
超大质量黑洞	Q13270
超对称理论	Q13271
超文本系统	Q13273
超新星爆发	Q13276
超新星爆炸	Q13277
超新星遗迹	Q13278
超新星（恒星演化过程中的一个阶段）	Q13279
超新星（日本动漫《海贼王》中一类角色）	Q13280
超星系团	Q13281
超流体	Q13282
超级大国	Q13283
超级大坏蛋（美国2010年汤姆·麦克格雷斯执导动画片）	Q13284
超级电脑（疯狂冰咆哮创作小说）	Q13285
超级神冈探测器	Q13286
超级篮球联赛	Q13287
超级计算机	Q13289
超自然（超越自然科学常规范围一种极端现象）	Q13291
超英赶美	Q13292
超高温	Q13293
越人	Q13294
越南	Q13296
越南历史	Q13299
越南战争（冷战中的重要局部战争）	Q13300
越南文	Q13301
越国（中国先秦时期诸侯国）	Q13302
越秀山	Q13305
越轨行为	Q13306
足球（运动）	Q13309
跑步（运动健身类方法）	Q13311
跑马地	Q13312
跨领域	Q13317
路内	Q13318
路德宗	Q13319
路德维希·凡·贝多芬	Q13320
路德维希·维特根斯坦	Q13321
路易斯·普林斯	Q13323
路易斯酸碱理论	Q13324
路由器	Q13325
路由（网络工程术语）	Q13327
路透社	Q13329
跳水运动员	Q13332
踏摇娘	Q13333
身体机能	Q13334
车骑将军	Q13339
