	Q1
统派	Q11699
统计分析（商业智能）	Q11700
统计力学（物理学概念）	Q11701
统计员	Q11702
统计学（一级学科）	Q11703
统计调查	Q11704
绥中县	Q11705
绥佳线	Q11706
绥芬河（黑龙江省辖县级市）	Q11707
绥远	Q11708
继承权	Q11709
继昌隆缫丝厂	Q11710
继续革命	Q11711
绩溪县	Q11712
绩溪县站	Q11713
续传灯录	Q11714
绰罗斯·噶尔丹	Q11715
绰罗斯·达瓦齐	Q11716
维也纳（奥地利首都、世界音乐之都）	Q11717
维克多·弗兰克	Q11718
维加（游戏《街头霸王》中人物）	Q11719
维医	Q11720
维吾尔族	Q11721
维吾尔语	Q11722
维基媒体基金会	Q11723
维基百科	Q11724
维塔（日本动漫《魔法少女奈叶》系列中的人物）	Q11725
维多利亚时代	Q11726
维希政府	Q11727
维希法国空军	Q11728
维度	Q11729
维新思想	Q11730
维格纳	Q11731
维生素c	Q11732
维管束植物	Q11733
维达尔·白兰士	Q11734
综合交通枢纽	Q11735
绿岛（中国台湾省台东县岛屿）	Q11736
绿林军	Q11737
绿林赤眉起义	Q11738
绿波廊	Q11739
绿色奇迹	Q11740
绿色食品	Q11741
绿藻类	Q11742
缅甸文化	Q11743
编年体	Q11744
编年体通史	Q11745
编年史（历史记录方式）	Q11746
编曲（图书名称）	Q11747
编码理论	Q11748
编码（计算机术语）	Q11749
编程语言	Q11750
缝纫工	Q11751
缝纫机（科技产品）	Q11752
缠足	Q11753
缪伯英	Q11754
缪凤林	Q11755
缪勒（美国遗传学家）	Q11756
缪斯（希腊神话中的一系列神祇）	Q11757
缴存比例	Q11758
缺省	Q11759
网域	Q11760
网格（生物学与信息学）	Q11761
网段	Q11762
网球场地	Q11763
网球（球类运动）	Q11764
网站托管	Q11765
网站（互联网词汇）	Q11766
网络	Q11767
网络中心战	Q11768
网络地址	Q11769
网络审查	Q11770
网络托管	Q11771
网络投票	Q11772
网络拓扑	Q11773
网络文件系统	Q11774
网络文学（以互联网为载体的文学）	Q11775
网络时代	Q11776
网络节点	Q11777
网络身份证	Q11778
网络防火墙	Q11779
网路	Q11780
网际网络	Q11781
网页	Q11782
网页浏览器	Q11783
罗东夜市	Q11784
罗伯特·劳伦斯·库恩	Q11785
罗伯特·布朗（苏格兰植物学家）	Q11786
罗伯特·波义耳	Q11787
罗伯特·皮尔	Q11788
罗伯特·胡克	Q11789
罗伯特·艾格	Q11790
罗伯特·赫德	Q11791
罗兰（1995年诺贝尔化学奖得主）	Q11792
罗兰（电子乐器的制造及销售商）	Q11793
罗刹国	Q11794
罗勒	Q11795
罗卜藏丹津	Q11796
罗国（夏商时代芈部落穴熊的一个分支）	Q11797
罗姆人	Q11798
罗宋汤	Q11799
罗定	Q11800
罗布泊	Q11801
罗斯贝	Q11802
罗易（印度革命家）	Q11803
罗杰·培根	Q11804
罗杰·潘洛斯	Q11805
罗氏鬼国	Q11806
罗汉像	Q11807
罗汉（佛教名词）	Q11808
罗河	Q11809
罗洛·梅	Q11810
罗浮山冲虚古观	Q11811
罗浮山（广东省博罗县罗浮山）	Q11812
罗源湾	Q11813
罗热里奥·塞尼	Q11814
罗熙杰	Q11815
罗盘针	Q11816
罗盘（一种风水探测工具，地理学专用仪器）	Q11817
罗章龙	Q11818
罗素·克劳	Q11819
罗纳德·哈里·科斯	Q11820
罗舜初	Q11821
罗马人（人种族群）	Q11822
罗马共和国（古罗马共和国）	Q11823
罗马史（商务印书馆2004年版图书）	Q11824
罗马尼亚国庆日	Q11825
罗马尼亚（欧洲南部国家）	Q11826
罗马帝国（古代罗马文明的一个阶段）	Q11827
罗马帝国（古罗马文明的一个阶段）	Q11828
罗马教廷	Q11829
罗马皇帝	Q11830
罗马（意大利首都）	Q11831
罚款	Q11832
罢黜百家，独尊儒术	Q11833
羊绒	Q11834
羊肉粉	Q11835
羌族	Q11836
美丽乡村（十六届五中全会建设目标）	Q11837
美人鱼（2006年美国电影）	Q11838
美元	Q11839
美利坚大学	Q11840
美南浸信会	Q11841
美国东岸	Q11842
美国中央情报局	Q11843
美国中西部	Q11844
美国人（2009年安东·寇班执导美国电影）	Q11845
美国人（丹尼尔·布尔斯廷小说）	Q11846
美国共和党	Q11847
美国军事（美利坚合众国军军力）	Q11848
美国国会图书馆	Q11849
美国国会（美国最高立法机关）	Q11850
美国国债	Q11851
美国国家安全局	Q11852
美国国家科学院	Q11853
美国国籍	Q11854
美国国防部高级研究计划局	Q11855
美国圣公会	Q11856
美国在台协会	Q11857
美国在线	Q11858
美国基督教	Q11859
美国太平洋舰队	Q11860
美国心理学会	Q11861
美国总统	Q11862
美国总统（美利坚合众国国家元首）	Q11863
美国护照	Q11864
美国政治	Q11865
美国教育	Q11866
美国时间（美国本土的时间）	Q11867
美国有线电视新闻网	Q11868
美国民主党	Q11869
美国海关	Q11870
美国海军	Q11871
美国海军第七舰队	Q11872
美国版权法	Q11873
美国社会学	Q11874
美国移民局	Q11875
美国经济	Q11876
美国经济学会	Q11877
美国经济评论	Q11878
美国职业棒球大联盟	Q11879
美国航空母舰	Q11880
美国计算机协会	Q11881
美国食品药品监督管理局	Q11882
美国（红色警戒2mod心灵终结3.0盟军子阵营）	Q11883
美国（美利坚合众国）	Q11884
美学（中国哲学二级学科）	Q11885
美尼斯	Q11886
美式橄榄球	Q11887
美德伦理学	Q11888
美术教育	Q11889
美济岛	Q11890
美琪（动漫《守护甜心》人物）	Q11891
美的集团	Q11892
美索不达米亚（jeanbottero著图书）	Q11893
羚牛	Q11894
群众团体	Q11895
群体行为	Q11896
羲和（中国远古神话的“日母”或“日御”）	Q11897
羽毛球（体育项目）	Q11898
翁俊明	Q11899
翁莎功·波拉玛塔功	Q11900
翘嘴鲌	Q11901
翠亨村（广东中山市南朗镇下辖村）	Q11902
翦伯赞	Q11903
翻唱	Q11904
耀变体	Q11905
老中医（解决临床疑难问题的医者）	Q11906
老人	Q11907
老化（化学名词）	Q11908
老城厢	Q11909
老娘舅（连锁餐饮企业）	Q11910
老子故里	Q11911
老子（道家学派创始人）	Q11912
老师和学生	Q11913
老年人口	Q11914
老年学	Q11915
老庄	Q11916
老挝	Q11917
老普林尼	Q11918
老鼠（啮齿目动物）	Q11919
老龄化社会	Q11920
老龙头	Q11921
考古发掘	Q11922
考古天文学	Q11923
考夫曼（俄国经济学家）	Q11924
考底利耶	Q11925
者阴山	Q11926
耆那教	Q11927
耍龙	Q11928
耕地面积	Q11929
耕者有其田	Q11930
耗散结构	Q11931
耗羡	Q11932
耦合	Q11933
耶和华见证人	Q11934
耶律延禧	Q11935
耶律阿保机（辽朝开国君主）	Q11936
耶稣会	Q11937
耶稣圣心主教座堂	Q11938
耶稣基督后期圣徒教会	Q11939
耶鲁大学	Q11940
耿仲明	Q11941
聂耳（人民音乐家）	Q11942
聂荣臻（中华人民共和国元帅）	Q11943
聆听音乐	Q11944
聊城市通力电梯有限公司	Q11945
聊天室（网络虚拟谈话空间）	Q11946
职业培训	Q11947
职业学校	Q11948
职业教育（教育）	Q11949
职业犯	Q11950
职业生涯	Q11951
职业运动员	Q11952
职业（专业术语）	Q11953
职官系统	Q11954
职方氏	Q11955
职阶（动漫作品fate系列中的职业）	Q11956
联俄容共	Q11957
联合军事演习	Q11958
联合国	Q11959
联合国会员国	Q11960
联合国儿童基金会	Q11961
联合国军	Q11962
联合国大会	Q11963
联合国大会第2758号决议	Q11964
联合国安全理事会	Q11965
联合国安全理事会常任理事国	Q11966
联合国开发计划署	Q11967
联合国教育、科学及文化组织	Q11968
联合国粮食及农业组织	Q11969
联合国（国际组织）	Q11970
联合工会	Q11971
联合报	Q11972
联想集团	Q11973
联机处理	Q11974
联省自治	Q11975
联络	Q11976
联邦储备系统	Q11977
联邦党人文集	Q11978
联邦制	Q11979
联邦法院	Q11980
肃北蒙古族自治县	Q11981
肃南裕固族自治县	Q11982
肃州区	Q11983
肃清大屠杀	Q11984
肇庆	Q11985
肉丸（有肉的丸子）	Q11986
肉体	Q11987
肉粽	Q11988
肉馅	Q11989
肋骨（人体骨骼）	Q11990
肘后备急方（医史文献）	Q11991
肝炎	Q11992
肝癌	Q11993
肝胆外科	Q11994
肝脏	Q11995
肠病毒	Q11996
股份制企业	Q11997
股票交易员	Q11998
股票期权	Q11999
股票（股份公司发行的所有权凭证）	Q12000
肥东县	Q12001
肥胖症	Q12002
肥西县	Q12003
肯尼亚	Q12004
肯迪	Q12005
肺炎	Q12006
肺癌	Q12007
肿瘤分期	Q12008
胃痛	Q12009
胆囊癌	Q12010
胆囊结石	Q12011
背包客（长途自助旅行的人）	Q12012
胎儿性别鉴定	Q12013
胜利之日	Q12014
胡亥（秦二世）	Q12015
胡先骕	Q12016
胡启立	Q12017
胡塞尔	Q12018
胡彦斌（中国内地男歌手）	Q12019
胡斯	Q12020
胡日德乐队	Q12021
胡景翼（民国将领）	Q12022
胡服	Q12023
胡歌（中国内地男演员）	Q12024
胡毅生	Q12025
胡汉民	Q12026
胡瑛（民国桃源三杰之一）	Q12027
胡耀邦（中华人民共和国的主要领导人之一）	Q12028
胡荣华（中国象棋国际特级大师）	Q12029
胡蝶（中央电视台主播）	Q12030
胡适	Q12031
胡金龙（书法家）	Q12032
胡锦涛	Q12033
胥姓	Q12034
胶子	Q12035
胶彩画	Q12036
胶片	Q12037
胺基酸	Q12038
能人	Q12039
能源价格	Q12040
能源工业	Q12041
能源矿产	Q12042
能源（向自然界提供能量转化的物质）	Q12043
能见度	Q12044
能量代谢	Q12045
能量传递	Q12046
能量守恒	Q12047
脉冲星（有10^7—10^14t强磁场的快速自转中子星）	Q12048
脉搏（动脉搏动）	Q12049
脉经	Q12050
脉象	Q12051
脊髓灰质炎	Q12052
脑损伤	Q12053
脚本小子	Q12054
脚本语言	Q12055
脚本（企业品牌）	Q12056
脚本（编剧术语）	Q12057
脱氧核糖核酸	Q12058
脱脱（元朝末期政治家、军事家）	Q12059
腊月二十三	Q12060
腌笃鲜	Q12061
腐乳	Q12062
腓尼基人	Q12063
腰斩（古代酷刑）	Q12064
腰线	Q12065
腺嘌呤核苷三磷酸	Q12066
腿毛	Q12067
臀部	Q12068
臂章	Q12069
自主创新（管理学名词）	Q12070
自主学习（现代化学习方式）	Q12071
自交	Q12072
自养生物	Q12073
自动上链机芯	Q12074
自动化控制	Q12075
自动恢复	Q12076
自动机理论	Q12077
自动规划	Q12078
自动调节	Q12079
自卑感	Q12080
自变量	Q12081
自慰	Q12082
自我复制	Q12083
自我学习	Q12084
自我实现	Q12085
自我思维	Q12086
自我组织	Q12087
自我认知	Q12088
自旋电子学	Q12089
自杀论	Q12090
自来水厂	Q12091
自然主义文学	Q12092
自然发酵	Q12093
自然哲学（哲学学科）	Q12094
自然地理	Q12095
自然地理学	Q12096
自然垄断	Q12097
自然增长率	Q12098
自然崇拜	Q12099
自然常数	Q12100
自然数	Q12101
自然数列	Q12102
自然景观（一种景物）	Q12103
自然权利	Q12104
自然植被	Q12105
自然法则（宇宙的基本法则）	Q12106
自然派	Q12107
自然物体	Q12108
自然状态	Q12109
自然现象	Q12110
自然生态保护区	Q12111
自然生态系统	Q12112
自然界	Q12113
自然神论（哲学观点）	Q12114
自然语言	Q12115
自然语言处理	Q12116
自然语言理解	Q12117
自然遗产	Q12118
自由之家	Q12119
自由协会	Q12120
自由地区	Q12121
自由广场（台北自由广场）	Q12122
自由恋爱	Q12123
自由意志（哲学概念）	Q12124
自由民主制	Q12125
自由法国	Q12126
自由空间（无任何多径的传播空间）	Q12127
自由联想	Q12128
自由行（新兴的旅游方式）	Q12129
自由贸易	Q12130
自由贸易区	Q12131
自由贸易协定	Q12132
自由贸易港	Q12133
自由贸易港区	Q12134
自由贸易试验区	Q12135
自由软件	Q12136
自由软件基金会	Q12137
自由软件运动	Q12138
自由边境区	Q12139
自行开发	Q12140
自行火炮	Q12141
自行车发展史	Q12142
自行车运动	Q12143
自行车（脚踏车）	Q12144
臭豆腐（小吃）	Q12145
至元（元世祖年号）	Q12146
至善至美（阿胶系列产品品牌）	Q12147
至喜长江大桥	Q12148
致公堂	Q12149
致命录像带	Q12150
致密星	Q12151
致我们终将逝去的青春（2007年辛夷坞著言情小说）	Q12152
舆地纪胜	Q12153
舆论导向	Q12154
舍入误差	Q12155
舒城县	Q12156
舒尔吉	Q12157
舒畅（中国内地女演员）	Q12158
舜（中国上古部落联盟首领）	Q12159
舞台灯光	Q12160
舞台艺术	Q12161
舞台调度	Q12162
舞狮	Q12163
舞者（微电影）	Q12164
舞蹈表演	Q12165
舞阳县（河南省漯河市辖县）	Q12166
舞阳河三峡	Q12167
舞阳河风景名胜区	Q12168
舞龙	Q12169
舞龙舞狮（中国民间习俗）	Q12170
航天学院	Q12171
航拍（摄影术语）	Q12172
航海技术（海洋航行的知识技能）	Q12173
航海术	Q12174
航空发动机	Q12175
航空工业	Q12176
航空枢纽	Q12177
航空武器	Q12178
航空母舰（《红色警戒2》中的海军单位）	Q12179
航空母舰（大型水面舰艇）	Q12180
航空航天	Q12181
航速	Q12182
航道	Q12183
舰艇	Q12184
船政学堂（清朝福建海军学院）	Q12185
船政文化	Q12186
船舶制造	Q12187
船舶升挂国旗管理办法	Q12188
船舶工业	Q12189
船（交通运输工具）	Q12190
艋舺（台北市西区地名）	Q12191
良序集	Q12192
良渚	Q12193
良渚文化	Q12194
良渚遗址	Q12195
色度	Q12196
色情	Q12197
色球	Q12198
色谱仪	Q12199
色雷斯人	Q12200
艺术家（法国2011年迈克尔·哈扎纳维希乌斯执导影片）	Q12201
艺术展览	Q12202
艺术形式（对艺术形式的解释）	Q12203
艺术总监	Q12204
艺术效果	Q12205
艺术特色	Q12206
艺术设计（艺术学科）	Q12207
艺术风格	Q12208
艺术（文化名词）	Q12209
艺海剧院	Q12210
艾丁湖	Q12211
艾丽莎·杜什库	Q12212
艾伦·麦席森·图灵	Q12213
艾兹格·迪科斯彻	Q12214
艾宾浩斯	Q12215
艾尔伯图斯·麦格努斯	Q12216
艾拉（香港品牌）	Q12217
艾森克	Q12218
艾滋病	Q12219
艾灸	Q12220
艾瑞克·弗洛姆	Q12221
艾米·阿克	Q12222
艾米·韦伯	Q12223
艾萨克·牛顿	Q12224
艾迪生	Q12225
艾青	Q12226
节点	Q12227
芋头（一种食用植物）	Q12228
芒硝	Q12229
芙兰朵露·斯卡雷特	Q12230
芜合高速公路	Q12231
芜湖东站	Q12232
芜湖县	Q12233
芜湖宣城机场	Q12234
芜湖港	Q12235
芜湖站	Q12236
芜湖轨道交通1号线	Q12237
芜湖（安徽省地级市）	Q12238
芜申运河	Q12239
芝加哥大学	Q12240
芝加哥学派	Q12241
芝加哥经济学派	Q12242
芝加哥（美国伊利诺伊州城市）	Q12243
芝加哥（美国国际大都市）	Q12244
芝麻李	Q12245
芝麻（胡麻籽种）	Q12246
芥子气	Q12247
芦山县	Q12248
芦洲区	Q12249
芫荽（香菜学名）	Q12250
芬兰大学	Q12251
芬兰（芬兰共和国）	Q12252
芭蕾舞剧	Q12253
花东纵谷	Q12254
花卉	Q12255
花园夜市	Q12256
花木兰（古代民族女英雄）	Q12257
花淑兰	Q12258
花瓶屿	Q12259
花生油（食用油）	Q12260
花莲溪	Q12261
花雅之争	Q12262
花鸟画	Q12263
花鸟鱼虫	Q12264
花鼓戏（中国戏曲剧种）	Q12265
苍耳（菊科苍耳属植物）	Q12266
苏-35战斗机	Q12267
苏俄内战	Q12268
苏台德地区	Q12269
苏商	Q12270
苏定方	Q12271
苏家屯区	Q12272
苏峻、祖约之乱	Q12273
苏州古典园林	Q12274
苏州工业园区	Q12275
苏州河畔	Q12276
苏州河（2000年娄烨执导电影）	Q12277
苏州港	Q12278
苏州评弹	Q12279
苏州（兰佩瑾编著书籍）	Q12280
苏州（江苏省地级市）	Q12281
苏德战争（第二次世界大战期间苏联与德国之间的战争）	Q12282
苏敬（唐代药学家）	Q12283
苏日中立条约	Q12284
苏朝友好合作互助条约	Q12285
苏格兰	Q12286
苏格拉底反诘法	Q12287
苏格拉底（古希腊著名哲学家）	Q12288
苏澳港	Q12289
苏玉华（中国香港女演员）	Q12290
苏禄国	Q12291
苏秦（战国时期纵横家）	Q12292
苏维埃	Q12293
苏维埃共和国	Q12294
苏维埃制度	Q12295
苏维埃政权	Q12296
苏美人	Q12297
苏联	Q12298
苏联共产党	Q12299
苏联共产党中央委员会总书记	Q12300
苏联国旗	Q12301
苏联工业化模式	Q12302
苏联模式	Q12303
苏联红军	Q12304
苏联肃反运动	Q12305
苏联解体（二十世纪历史事件）	Q12306
苏联马克思主义	Q12307
苏荣（十二届全国政协原副主席）	Q12308
苏菲派	Q12309
苏赫巴托尔（蒙古人民革命党创始人之一）	Q12310
苏轼（北宋文学家）	Q12311
苗医	Q12312
苗岭（地理地点）	Q12313
苗族	Q12314
苗族芦笙舞	Q12315
苗族银饰	Q12316
苜蓿属	Q12317
苟日新，日日新，又日新	Q12318
若开邦	Q12319
苦无	Q12320
苦水玫瑰	Q12321
苯教	Q12322
英利集团	Q12323
英国军队	Q12324
英国历史	Q12325
英国圣公会	Q12326
英国外交大臣	Q12327
英国巴克莱银行	Q12328
英国戏剧	Q12329
英国殖民地	Q12330
英国皇家海军	Q12331
英国皇家空军	Q12332
英国首相（政治学名词）	Q12333
英国（大不列颠及北爱尔兰联合王国）	Q12334
英属印度	Q12335
英属香港	Q12336
英帕尔	Q12337
英德	Q12338
英德海军协定	Q12339
英文字母	Q12340
英明村	Q12341
英格兰	Q12342
英格兰足球联盟杯	Q12343
英格玛·伯格曼（瑞典导演、编剧、制作人）	Q12344
英法联军（第二次鸦片战争中的英法联军）	Q12345
英特尔	Q12346
英美	Q12347
英联邦	Q12348
英语单词	Q12349
英语文学	Q12350
英语（语言）	Q12351
英里（英制长度单位）	Q12352
英镑	Q12353
英雄式	Q12354
英雄时代（2013年李大为导演史诗宏篇巨著电视连续剧）	Q12355
英雄联盟全球总决赛	Q12356
英雄联盟（2011年腾讯运营的电子竞技类游戏）	Q12357
苹果公司	Q12358
苹果电脑	Q12359
苹果（2007年李玉执导电影）	Q12360
苹果（伊朗1998年莎米拉·玛克玛尔巴夫执导电影）	Q12361
苹果（动漫《男子高中生的日常》中角色）	Q12362
苹果（蔷薇科苹果属果实）	Q12363
苹果（韩国2008年康理贯执导电影）	Q12364
苻坚	Q12365
茂兰喀斯特森林	Q12366
茂名	Q12367
茂宜岛	Q12368
范仲淹	Q12369
范伟（中国内地喜剧演员）	Q12370
范姓	Q12371
范式（数据库术语）	Q12372
范式（科学学概念）	Q12373
范志毅（中国足球名宿）	Q12374
范成大	Q12375
范文程	Q12376
范杜能	Q12377
范植伟	Q12378
范畴论	Q12379
范畴（哲学概念）	Q12380
范艾伦辐射带	Q12381
范阳起兵	Q12382
范阳（中国古代地名和行政区划名）	Q12383
范雎	Q12384
范鸿劼	Q12385
茅台酒	Q12386
茅盾	Q12387
茉莉花（中国民歌）	Q12388
茨淮新河	Q12389
茶树	Q12390
茶话会（饮茶谈话之会）	Q12391
茶（中国传统饮品）	Q12392
荀子（战国末期赵国思想家、教育家）	Q12393
荆山（词语解释）	Q12394
荆州城	Q12395
荆州府	Q12396
荆州花鼓戏	Q12397
荆州长江大桥	Q12398
荆州（古九州之一）	Q12399
荆州（湖北省地级市）	Q12400
荆楚文化（中华文明组成部分）	Q12401
荆江河曲	Q12402
荆湖北路	Q12403
荆襄磷矿	Q12404
荆轲刺秦王（战国策选文）	Q12405
荆轲塔	Q12406
荆轲（战国时期著名刺客）	Q12407
荆门	Q12408
草海（贵州省威宁县草海）	Q12409
荒木丰久	Q12410
荒木经惟	Q12411
荒漠化	Q12412
荔枝（水果类植物）	Q12413
荔波县	Q12414
荣夷公	Q12415
荣庆	Q12416
荣毅仁	Q12417
荣民（台湾“荣誉国民”的简称）	Q12418
荣誉奖章	Q12419
荣誉教授	Q12420
荥阳	Q12421
药典	Q12422
药学（医药学学科）	Q12423
药物化学（学科）	Q12424
药物论	Q12425
药用植物资源	Q12426
药用植物（医药学术语）	Q12427
药用植物（莱斯莉·布雷姆尼斯著图书）	Q12428
药膳	Q12429
药酒（中药与酒融合体）	Q12430
荷兰	Q12431
荷属东印度	Q12432
荷马史诗	Q12433
荷马（古希腊诗人）	Q12434
莆田	Q12435
莉顿·梅斯特	Q12436
莫利哀	Q12437
莫卧儿帝国	Q12438
莫妮克	Q12439
莫干山（天目山余脉）	Q12440
莫斯科保卫战（苏德战争中的重要战役）	Q12441
莫斯科和平协定	Q12442
莫斯科（俄罗斯联邦首都）	Q12443
莫斯科（美国爱达荷州城镇）	Q12444
莫朝	Q12445
莫理循	Q12446
莫里斯·威尔克斯	Q12447
莫里斯·梅洛-庞蒂	Q12448
莫顿（《赛尔号》中角色）	Q12449
莫高窟	Q12450
莫高窟（甘肃敦煌景点）	Q12451
莱切斯特	Q12452
莱昂内尔·罗宾斯	Q12453
莱昂哈德·欧拉	Q12454
莱昂哈特	Q12455
莱昂纳多·迪卡普里奥	Q12456
莱曼·弗兰克·鲍姆	Q12457
莱比锡大学	Q12458
莱茵兰	Q12459
莱茵河（欧洲河流名）	Q12460
莲花山（广州番禺莲花山）	Q12461
莲花峰（安徽境内山峰）	Q12462
菏泽（山东省地级市）	Q12463
菜篮子工程	Q12464
菜籽油	Q12465
菩提达摩	Q12466
菱镁矿	Q12467
菲利普斯曲线	Q12468
菲尔兹奖	Q12469
菲尔多西	Q12470
菲律宾吕宋岛	Q12471
菲律宾板块	Q12472
菲律宾海	Q12473
菲律宾海海战	Q12474
菲律宾（菲律宾共和国）	Q12475
菲靡靡之音	Q12476
萍洲可谈	Q12477
萤火一号火星探测器	Q12478
营业收入	Q12479
营养不良	Q12480
营口	Q12481
营口港	Q12482
营州（北魏营州）	Q12483
营收	Q12484
萧何	Q12485
萧县	Q12486
萧子显	Q12487
萧抱珍	Q12488
萧衍	Q12489
萧铣	Q12490
萨克斯风	Q12491
萨尔浒战役	Q12492
萨尔（暴雪魔兽系列游戏中的主要角色）	Q12493
萨彦岭	Q12494
萨拉曼卡学派	Q12495
萨斯（土耳其加拉塔萨雷足球俱乐部球员）	Q12496
萨满教	Q12497
萨满（《魔兽世界》游戏人物）	Q12498
萨珊王朝	Q12499
萨赞岛	Q12500
萨赫勒地带	Q12501
萨麦尔（神话中的恶魔）	Q12502
落叶阔叶林	Q12503
落地签证	Q12504
落子	Q12505
著作权	Q12506
著作权法（中华人民共和国著作权法）	Q12507
著微	Q12508
葛洪（东晋道教学家、化学家、医药学家）	Q12509
葛洲坝三江大桥	Q12510
葛洲坝水电站	Q12511
葡属澳门	Q12512
葡萄牙	Q12513
葡萄牙共产党	Q12514
葡萄牙帝国	Q12515
葡萄酒	Q12516
董云虎	Q12517
董其昌	Q12518
董卓（东汉末年权臣）	Q12519
董建华（第十三届全国政协副主席）	Q12520
董建（济南文艺广播主持人）	Q12521
董贤	Q12522
葫芦岛（辽宁省地级市）	Q12523
蒂姆·伯纳斯·李	Q12524
蒂姆·库克	Q12525
蒂托·李维	Q12526
蒋介石	Q12527
蒋仲苓	Q12528
蒋卓庆	Q12529
蒋巨峰	Q12530
蒋彦永	Q12531
蒋清（成都市第一人民医院副主任医师）	Q12532
蒋渭水高速公路	Q12533
蒋经国	Q12534
蒋胜	Q12535
蒙医	Q12536
蒙古人民共和国	Q12537
蒙古人民革命党	Q12538
蒙古人种	Q12539
蒙古八旗	Q12540
蒙古包（民居）	Q12541
蒙古国	Q12542
蒙古地方	Q12543
蒙古帝国（蒙古人建立的地跨欧亚的帝国）	Q12544
蒙古族	Q12545
蒙古袍	Q12546
蒙城县	Q12547
蒙德极小期	Q12548
蒙恬（秦始皇时期的著名将领）	Q12549
蒙拉	Q12550
蒙毅（秦朝将领）	Q12551
蒙特·卡罗方法	Q12552
蒙特维多国家权利义务公约	Q12553
蒙疆联合自治政府	Q12554
蒙藏委员会	Q12555
蒙金战争	Q12556
蒲辅周	Q12557
蒸发量	Q12558
蒸汽火车	Q12559
蒸馏法	Q12560
蓝光光碟	Q12561
蓝天蔚	Q12562
蓝夷	Q12563
蓝水海军	Q12564
蓝洋	Q12565
蓝田人	Q12566
蓝田县	Q12567
蓝田猿人文化	Q12568
蓝色基因（超级计算机的名）	Q12569
蓝色行动（德意志进攻行动）	Q12570
蔡依林	Q12571
蔡侯	Q12572
蔡元培	Q12573
蔡叔	Q12574
蔡和森	Q12575
蔡国	Q12576
蔡志强（童星演员）	Q12577
蔡明亮	Q12578
蔡英文（台湾地区领导人、民主进步党主席）	Q12579
蔡锷	Q12580
蔡骏（悬疑作家）	Q12581
蔬菜（食用类植物）	Q12582
蕨菜（蕨菜）	Q12583
薄一波	Q12584
薄荷（唇形科植物）	Q12585
薅草歌	Q12586
薛举	Q12587
薛之谦（中国内地男歌手、音乐制作人、演员）	Q12588
薛仁杲	Q12589
薛仁贵	Q12590
薛其坤	Q12591
薛延陀	Q12592
藏传佛教	Q12593
藏军	Q12594
藏南地区	Q12595
藏族	Q12596
藏袍	Q12597
藏象	Q12598
藩属国	Q12599
藩王	Q12600
藩镇	Q12601
藩镇割据	Q12602
藿香（唇形科荆芥属植物）	Q12603
蘑菇（众多食用菌的统称）	Q12604
虎牢关（古关隘名）	Q12605
虎门销烟	Q12606
虎门镇	Q12607
虚位元首	Q12608
虚拟世界（独立于现实世界、与现实世界有联系的世界）	Q12609
虚拟内存	Q12610
虚拟博物馆	Q12611
虚拟地球	Q12612
虚拟机	Q12613
虚无主义	Q12614
虚构（艺术想象的产物）	Q12615
虢公翰	Q12616
虢石父	Q12617
虹口区	Q12618
虹桥综合交通枢纽	Q12619
虹膜识别技术	Q12620
虾子大乌参	Q12621
蚁族（廉思作品）	Q12622
蚌埠	Q12623
蚌埠东站	Q12624
蚌埠南站	Q12625
蚌埠港	Q12626
蚌埠滕湖机场	Q12627
蚌埠站	Q12628
蚵仔煎（闽台潮特色小吃）	Q12629
蚵仔面线	Q12630
蛇岛	Q12631
蛋白质组学	Q12632
蛟龙号载人潜水器	Q12633
蜀汉（三国时期政权）	Q12634
蜀郡	Q12635
蜡染	Q12636
蝮蛇（花斑蛇）	Q12637
蝴蝶兰（兰科、蝴蝶兰属植物）	Q12638
融资方式	Q12639
螨虫	Q12640
螺旋星系	Q12641
螺旋臂	Q12642
蟋蟀（昆虫）	Q12643
蠕虫（能通过网络进行自我传播的恶意程序）	Q12644
血吸虫病	Q12645
血族（吉尔莫·德尔·托罗执导fx电视网剧集）	Q12646
血液循环	Q12647
血统（由血缘形成的亲属系统）	Q12648
血缘关系（由婚姻或生育而产生的人际关系）	Q12649
行业	Q12650
行中书省	Q12651
行为主义学派	Q12652
行为主义心理学	Q12653
行为主义理论	Q12654
行为主义革命	Q12655
行为主义（美国现代心理学主要流派之一）	Q12656
行为学派	Q12657
行为心理学（心理学流派）	Q12658
行为模式	Q12659
行为目标	Q12660
行为经济学（经济学下属学科）	Q12661
行动成功	Q12662
行动计划	Q12663
行动（汉语词组）	Q12664
行政事务	Q12665
行政人员	Q12666
行政划分	Q12667
行政功能	Q12668
行政区划	Q12669
行政单位	Q12670
行政命令	Q12671
行政拘留	Q12672
行政效率	Q12673
行政效能	Q12674
行政机关	Q12675
行政权	Q12676
行政村	Q12677
行政法院	Q12678
行政法（国家行政管理的法律、法规）	Q12679
行政督察区	Q12680
行政管理工作	Q12681
行政级别	Q12682
行政规划	Q12683
行政诉讼	Q12684
行政院新闻局	Q12685
行政院长	Q12686
行星状星云	Q12687
行星科学	Q12688
行星系	Q12689
行署区	Q12690
街舞	Q12691
街道办事处	Q12692
街道（城市中比较宽阔的道路）	Q12693
衡山（南岳衡山为主体的山脉）	Q12694
衡阳（湖南省下辖地级市）	Q12695
衣原体	Q12696
衣锦还乡（汉语成语）	Q12697
补充公积金	Q12698
